Name,Category,TimeRare,TimeMedium,TimeWellDone,CueRare,CueMedium,CueWellDone,RiskNote,ServingTip,Technique,Overtime,Midpoint
"🌿 茼蒿","蔬菜类","15","25","45","叶片变软","茎秆微软、香气浓","软烂","无生食风险，按口感选档","茎秆微软香气浓",中火处翻两下断生即捞,hard,
"🎍 莴笋","蔬菜类","45","60","90","片状断生、保持脆感","半透明、脆嫩","软而不脆","无生食风险，按口感选档","片状断生，保持脆感",青绿半透明为清脆断生,hard,
"🥬 油麦菜","蔬菜类","45","60","90","叶片变软、颜色变深","叶软色深","软烂","无生食风险，按口感选档","叶片变软，颜色变深",叶片变软、颜色变深,hard,
"🥬 生菜","蔬菜类","45","60","90","叶片变软保持青绿","变软转深绿","软烂","无生食风险，按口感选档","叶片变软保持青绿",叶片变软保持青绿,hard,
"🌱 韭菜","蔬菜类","45","60","90","颜色变深","微软、色深","软烂","无生食风险，按口感选档","颜色变深，微软即可",颜色变深、微软即可,hard,
"🥬 娃娃菜","蔬菜类","90","120","180","菜帮微软","菜帮变软、叶不散","软烂","无生食风险，按口感选档","菜帮变软不散",中火少浮油处烫，防过辣,hard,0.5
"🥬 大白菜","蔬菜类","90","120","180","菜叶软、菜帮稍脆","叶软塌、菜帮微软","软烂","无生食风险，按口感选档","菜叶软塌，菜帮稍脆",菜叶软塌、菜帮稍脆,hard,0.5
"🌿 芝麻菜","蔬菜类","90","120","180","叶片萎蔫","萎蔫、香气释放","软烂","无生食风险，按口感选档","叶片萎蔫，特殊香气",叶片萎蔫、特殊香气,hard,
"🌱 红薯苗","蔬菜类","90","120","180","叶片软塌、杆茎仍脆","叶软杆脆","全软","无生食风险，按口感选档","（苕尖）叶片软塌，杆茎仍脆",叶片软塌、杆茎仍脆,hard,
"🥦 花菜","蔬菜类","150","180","240","颜色鲜艳、稍硬","颜色鲜艳、软硬适中","软面","建议煮软些，利于消化","（西兰花/白菜花）颜色鲜艳，软硬适中",颜色鲜艳、软硬适中,hard,0.5
"🥒 丝瓜","蔬菜类","150","180","240","瓜肉开始变软","瓜肉变软透明","软烂","无生食风险，按口感选档","瓜肉变软透明",瓜肉变软透明,hard,0.5
"🪷 藕片","蔬菜类","120","180","240","口感脆爽","脆中带面","粉糯","无生食风险，按口感选档","口感脆爽或粉糯",断生微透即保持脆甜,hard,0.5
"🌊 海带","蔬菜类","150","180","240","厚实不粘滑","叶片厚实、口感弹","软糯","无生食风险，按口感选档","（鲜/湿）叶片厚实不粘滑",叶片厚实不粘滑,hard,0.5
"🍄 木耳","蔬菜类","120","180","240","肥厚发亮","肉质肥厚发亮、爽脆","软韧","建议煮透","肉质肥厚发亮，口感爽脆",表面光滑油亮、耳瓣伸展,hard,0.5
"🌱 海白菜","蔬菜类","150","180","240","叶片舒展","舒展滑嫩","软烂","无生食风险，按口感选档","叶片舒展，口感滑嫩",叶片舒展、口感滑嫩,hard,
"🍠 山药","蔬菜类","150","180","240","断面刚转粉","断面粉质、口感绵软","更面","务必断生，生黏液刺激口腔","断面呈粉质状，口感绵软",断面呈粉质状、口感绵软,hard,0.5
"🥕 胡萝卜","蔬菜类","150","180","240","颜色鲜艳、稍脆","稍软带脆","软面","无生食风险，按口感选档","颜色更鲜艳，稍软但仍有脆度",颜色更鲜艳、稍软带脆,hard,0.5
"🎍 贡菜","蔬菜类","90","120","180","恢复鲜绿","鲜绿爽脆","软而不脆","无生食风险，按口感选档","恢复鲜绿，口感爽脆",变深翠绿且微透即捞,hard,
"🍄 竹荪","蔬菜类","60","90","120","开始吸汁","菌帽网状吸饱汤汁","软烂","","菌帽网状部分吸饱汤汁",几经翻滚、吸饱汤汁变软,hard,
"🌼 黄花菜","蔬菜类","150","180","240","花蕾变软","变软、颜色鲜黄","软烂","干品需泡发；务必煮透","花蕾变软，颜色鲜黄",花蕾变软、颜色鲜黄,hard,0.5
"🍄 杏鲍菇","蔬菜类","180","240","300","边缘开始变软","口感Q弹、吸汁","软嫩","建议煮透","口感Q弹，吸汁",切片煮透转软,hard,0.5
"🍠 红薯","蔬菜类","210","240","300","筷子可插入","筷子可穿透、中心绵","粉烂","块状需煮透","块状需煮透，筷子可穿",块状需煮透、筷子可穿,hard,0.5
"🥔 土豆","蔬菜类","210","240","300","边缘透明、中心稍硬","边缘透明、中心绵软","散开","片/块均需煮透","片/块边缘透明，中心绵软",薄片通透即捞，厚片多煮,hard,0.5
"🎍 竹笋","蔬菜类","180","240","300","纤维稍软","纤维软化不塞牙","更软","务必煮透（草酸/氰苷）","（大块）纤维软化不塞牙",笋肉纤维稍煮透、涩味尽褪,hard,0.5
"🌽 玉米","蔬菜类","210","240","300","颗粒饱满","饱满香甜","更甜软","无生食风险，按口感选档","（段）颗粒饱满，香甜",段状颗粒饱满、香甜,hard,0.5
"🍄 茶树菇","蔬菜类","270","300","360","纤维稍软","软化不塞牙、入味","软烂","建议煮透","纤维软化不塞牙，充分入味",纤维软化不塞牙、充分入味,hard,0.5
"🍄 香菇","蔬菜类","240","300","360","菇伞开始变软","菌褶吸汁、菇伞变软","软烂","建议煮透","（鲜/干泡发）菌褶吸饱汤汁，菇伞变软",菇盖发软多汁即可,hard,0.5
"🍄 平菇","蔬菜类","180","240","300","菌伞展开","完全展开、边缘微软","软烂","建议煮透","菌伞完全展开，边缘微软",完全煮软、压出生水,hard,0.5
"🍄 金针菇","蔬菜类","120","180","240","菌帽分离","软化入味、易嚼","软烂","建议煮透","菌帽分离易嚼，软化入味",菇体由挺立转为完全伏软,hard,0.5
"🌱 海带苗","蔬菜类","20","30","45","入汤未变色","变翠绿、软亮","软烂","无生食风险，按口感选档","变软变亮",入沸汤变翠绿色即起,hard,
"🫓 面筋泡","豆制品类","20","30","60","开始吸汁","吸饱汤汁、变软","更软","无生食风险，按口感选档","吸饱汤汁，变软即可",吸饱汤汁、变软即可,hard,
"🥠 油豆皮","豆制品类","20","30","60","软化","微软吸味","软烂","易吸味，久煮易散","（薄）软化即可，易吸味",下锅软化吸汤即起,hard,
"🥖 老油条","豆制品类","6","10","15","外层未吸汁","外层微软、内芯仍脆","全软吸汁","无生食风险，按口感选档","（半软半脆）吸汁后微软即可",轻蘸快起，依口味调整,hard,
"🧈 嫩豆腐","豆制品类","90","120","180","烫热","整体热透","更入味","小心易碎","小心易碎，烫热即可",小心易碎、烫热即可,hard,
"🥠 千页豆腐","豆制品类","90","120","180","略微膨胀","膨胀、口感Q弹","更软","无生食风险，按口感选档","略微膨胀，口感Q弹",略微膨胀、口感Q弹,hard,
"🥠 豆腐皮","豆制品类","60","90","120","软化","软化吸汁","软烂","","（干/鲜）软化吸汁",下锅软化吸汤即起,hard,
"🥠 油炸腐竹","豆制品类","180","240","300","微软","吸汁、微软带韧","软烂","","吸饱汤汁，微软带韧",捏压无坚硬内芯、表皮软滑,hard,0.5
"🍜 水晶粉丝","豆制品类","90","120","180","开始变透明","变透明、柔软顺滑","过软易断","无生食风险，按口感选档","变透明，柔软顺滑",变透明、柔软顺滑,hard,
"🍜 土豆粉","豆制品类","90","120","180","半透明","变透明、Q弹有嚼劲","软糯","无生食风险，按口感选档","变透明，Q弹有嚼劲",白条变莹白半透、浮于汤面,hard,0.5
"🫓 苕皮","豆制品类","120","180","240","开始透明","透明软糯","过软","无生食风险，按口感选档","（红薯粉皮）透明软糯",变深色透明凝胶状、轻晃软弹,hard,0.5
"🍜 宽粉","豆制品类","300","360","480","半透明","晶莹剔透、Q弹","软糯易夹断","无生食风险，按口感选档","晶莹剔透，口感Q弹",煮至通体透明无白芯,hard,0.5
"🧊 冻豆腐","豆制品类","150","180","240","开始吸汁","蜂窝明显、吸满汤","更软","","吸饱汤汁，蜂窝明显",蜂窝孔洞充盈汤水、手感饱满,hard,0.5
"🍜 龙须面","豆制品类","240","300","360","变软、微带硬心","柔软无硬心","软烂","无生食风险，按口感选档","面条柔软，无硬心",面条柔软、无硬心,hard,
"🍡 年糕","豆制品类","240","300","360","开始变软","软糯不粘牙","软塌","无生食风险，按口感选档","软糯不粘牙",浮于汤面按压有回弹,hard,
"🥠 腐竹","豆制品类","240","300","360","变软","软韧入味","软烂","干品需泡发","（干泡发）软韧入味",捏压无坚硬内芯、表皮软滑,hard,0.5
"🍜 手工面","豆制品类","240","300","360","变软、微带硬心","熟透劲道","软烂","无生食风险，按口感选档","面条熟透，劲道",面条熟透、劲道,hard,
"🍡 包心丸","丸滑类","180","240","300","漂浮膨胀","漂浮膨胀、内心热透","更紧实","包心类需确认内心热透","漂浮膨胀，内心熟透",漂浮膨胀、内心熟透,hard,
"🦐 虾丸","丸滑类","180","240","300","漂浮变大","漂浮变大、内部热透","更紧实","","漂浮变大，内部熟透",漂浮变大、内部熟透,hard,
"🐖 猪肉丸","丸滑类","180","240","300","漂浮变色","漂浮变色、按压有弹性","更紧实","猪肉制品偏生未充分加热","漂浮变色，按压有弹性",漂浮变色、按压有弹性,hard,
"🍢 四喜丸","丸滑类","180","240","300","体积变大","体积变大、浮起","更紧实","肉丸需确认内部热透","体积变大，浮起熟透",体积变大、浮起熟透,hard,
"🌿 香菜丸","丸滑类","180","240","300","漂浮","漂浮、香菜味浓","更紧实","","漂浮，香菜味浓郁",漂浮、香菜味浓郁,hard,
"🦑 墨鱼丸","丸滑类","180","240","300","漂浮变白","漂浮变白、Q弹爽口","更紧实","","漂浮变白，Q弹爽口",漂浮变白、Q弹爽口,hard,
"🥩 潮州牛肉丸","丸滑类","180","240","300","漂浮变大","弹性十足、内部多汁","更紧实","","弹性十足，内部多汁",完全浮起并膨胀变大一圈,hard,
"🍄 香菇贡丸","丸滑类","180","240","300","漂浮","漂浮、香菇可见","更紧实","","漂浮，香菇可见",漂浮、香菇可见,hard,
"💥 撒尿牛丸","丸滑类","180","240","300","膨胀","膨胀、爆汁","更紧实","小心烫嘴","膨胀，小心烫嘴",膨胀、小心烫嘴,hard,
"🐟 鱼丸","丸滑类","180","240","300","漂浮变大","漂浮变大、口感Q弹","更紧实","","漂浮变大，口感Q弹",漂浮变大、口感Q弹,hard,
"🥩 牛肉滑","丸滑类","150","180","240","漂浮、变色大半","漂浮变色、紧实Q弹","更紧实","厚团需确认中心无粉色","漂浮变色，紧实Q弹",浮起受热均匀、表面滑嫩,hard,
"🦑 墨鱼滑","丸滑类","150","180","240","漂浮变白","漂浮变白、紧实Q弹","更紧实","厚团需确认中心热透","漂浮变白，紧实Q弹",滑团浮起、由暗灰变挺实,hard,
"🦐 虾滑","丸滑类","150","180","240","漂浮、中心微带粉","漂浮变红、紧实Q弹","更紧实","偏生中心可能带粉","漂浮变红，紧实Q弹",勺挖成球下锅，完全浮起即捞,hard,
"🦀 蟹黄鱼滑","丸滑类","150","180","240","漂浮、变色大半","漂浮变色、蟹黄点缀","更紧实","厚团需确认中心热透","漂浮变色，蟹黄点缀",漂浮变色、蟹黄点缀,hard,
"🥓 培根","经典火锅菜","90","120","180","边缘开始卷曲","边缘卷曲、油脂溢出","更韧","腌制肉制品，建议全熟","边缘卷曲，油脂溢出",边缘卷曲、油脂溢出,hard,
"🍖 火腿","经典火锅菜","90","120","180","烫热","热透、脂边透明","更韧","熟制品，烫热即可","（片状）烫热即可",烫热即可、脂边透明,hard,
"🥫 午餐肉","经典火锅菜","90","120","180","边缘微变","边缘微焦更香","更韧","熟制品，烫热即可","边缘微焦更香",表面浮起、边缘微胀,hard,
"🦀 蟹肉棒","经典火锅菜","60","90","120","开始散开","散开变色","全散","制品需热透","（蟹柳）散开变色",丝纹微散微浮即出锅,hard,
"🍥 鱼豆腐","经典火锅菜","90","120","180","开始膨胀","膨胀变软、Q弹","更软","","膨胀变软，Q弹",膨胀变软、Q弹,hard,
"🌭 脆皮肠","经典火锅菜","150","180","240","肠衣开始裂","肠衣开裂、香气四溢","更韧","肉灌制品务必热透","肠衣开裂，香气四溢",肠衣开裂、香气四溢,hard,
"🐟 乌鱼卷","经典火锅菜","150","180","240","变白卷曲","完全变白卷曲","变硬","水产建议全熟","（非乌鱼片）变白卷曲",变白卷曲,hard,
"🥩 坨坨牛肉","经典火锅菜","150","180","240","热透","肉块热透入味","更软","预制块状需热透中心","（预制）肉块热透入味",肉块热透入味,hard,
"🐟 巴沙鱼片","经典火锅菜","240","300","360","变白、中心微透","鱼肉完全变白、易碎分瓣","更紧","水产务必全熟","鱼肉变白，完全熟透",白肉微浮起轻掐断即熟,hard,
"👅 鸭舌","经典火锅菜","180","240","300","表皮开始收缩","表皮收缩起皱","更韧","","（鲜）表皮收缩起皱",舌尖受热外翻、舌根紧致,hard,
"🐑 嫩羊肉","经典火锅菜","240","300","360","内部微带粉","内部无血色","发柴","块/厚片务必全熟","（块状/厚片）内部无血色",内部无血色,hard,
"🍲 毛血旺","经典火锅菜","240","300","360","整体热透","整体烫热、入味","更老","成品复热，鸭血需热透","（成品）整体烫热，食材入味",整体烫热、食材入味,hard,
"🥟 虾饺","经典火锅菜","240","300","360","外皮开始透明","外皮透明、馅料浮起","皮塌","","外皮透明，馅料浮起",外皮透明、馅料浮起,hard,
"🦴 牛仔骨","经典火锅菜","240","300","360","开始离骨","肉质离骨、酱香浓郁","更烂","","肉质离骨，酱香浓郁",肉质离骨、酱香浓郁,hard,
"🐔 鸡翅尖","经典火锅菜","240","300","360","皮肉开始软","皮肉软糯、易脱骨","更烂","禽类务必全熟","皮肉软糯，易脱骨",皮肉软糯、易脱骨,hard,
"🐖 猪蹄","经典火锅菜","300","360","480","皮开始糯","皮糯肉烂、热透","更烂","预制需热透","（预制）皮糯肉烂，热透",中火浸煮至胶质黏嘴,hard,0.5
"🥟 蛋饺","经典火锅菜","240","300","360","蛋皮吸汁","蛋皮吸汁、内馅热透","皮散","","蛋皮吸汁，内馅熟透",蛋皮吸汁、内馅熟透,hard,
"🐔 鸡翅中","经典火锅菜","420","480","540","开始脱骨","骨肉易分离、完全熟透","更烂","禽类务必全熟","骨肉易分离，完全熟透",骨肉易分离、完全熟透,hard,
"🧠 脑花","经典火锅菜","720","900","1080","中心呈固态、无血丝","无血丝呈固态、绵密","更实","务必全熟（寄生虫风险）","（猪脑花）无血丝呈固态，绵密",漏勺中小火慢煨,hard,0.5
"🐔 无骨凤爪","经典火锅菜","420","480","540","胶质开始软","胶质软糯、晶莹剔透","更烂","禽类务必全熟","胶质软糯，晶莹剔透",沸汤透热后胶质化开,hard,
"🦴 排骨","经典火锅菜","420","480","540","开始离骨","肉质离骨、软烂入味","更烂","小块需全熟","（小块）肉质离骨，软烂入味",深煮至筷子能扎透骨肉,hard,0.5
"🫀 猪黄喉","肉类","30","45","60","开始变白","变白脆弹、边缘微卷","卷硬咬不动","","变白脆弹",煮至管体向内打卷,hard,
"🫀 牛黄喉","肉类","60","90","120","开始变白","变白脆弹、边缘微卷","卷硬咬不动","","变白脆弹",煮至管体向内打卷,hard,
"🥩 腰片","肉类","15","20","30","表面微变、中心红润","红润转灰白、边缘微翘","收缩发硬","内脏类，偏生未充分加热","由红润变灰白、边缘微翘即熟",单片夹住浸入沸油快涮,hard,
"🩸 鸭血","肉类","300","360","480","沉底未浮","完全浮起、块体膨胀","内部气孔明显","务必煮透（寄生虫风险）","完全浮起、内部出现细小气孔即熟",冷锅或小火慢煨,hard,0.5
"🌶️ 麻辣牛肉","肉类","120","180","240","外层浆壳未化","浆壳化开、肉全熟","肉质发柴","裹浆较厚，中心需时更久","需煮透断生，中火翻滚不易煮柴",中火翻滚煮透断生,hard,
"🥩 滑嫩牛肉","肉类","60","90","120","表面微变、浆壳未化","浮起受热均匀、表面滑嫩发亮","肉质发柴","上浆保护，偏生中心可能带粉","浮起受热均匀、表面滑嫩发亮时捞出",浮起受热均匀即捞,hard,
"🥮 响铃卷","经典火锅菜","3","5","6","入汤未吸汁","沉入浓汤3秒打个滚、秒吸汤汁","吸饱汤汁、微脆转软","","筷子夹住沉入浓汤3秒快速打个滚即捞",沉入浓汤3秒打个滚即捞,hard,
"🐟 耗儿鱼","海鲜类","300","360","480","鱼肉未收缩","鱼肉收缩与主刺脱离、呈蒜瓣状雪白","肉离骨发硬","务必煮透（寄生虫风险）","需中火煮透，鱼肉与主刺脱离即熟",中火煮透至鱼骨脱离,hard,0.5
"🌿 豌豆尖","蔬菜类","5","10","15","入汤未变色","变深翠绿、脆嫩","软烂","无生食风险，按口感选档","极速飞水，变深翠绿立刻起锅",筷子一摁变深翠绿立刻起锅,hard,
"🦴 牛骨髓","肉类","180","240","300","半透生肉质感","乳白凝固脂膏状、筷扎不散","更实","","由半透生肉质感转为乳白凝固脂膏状即熟",漏勺中小火慢煨,hard,0.5
"🦑 鱿鱼卷","海鲜类","60","90","120","开始卷曲","刀口深卷成麦穗形、质地脆硬","明显收缩发硬","头足类，未熟透易致消化不良","刀口深卷成麦穗形、质地转脆硬即可",刀口深卷成麦穗形,hard,0.5
"🐖 猪天堂","肉类","60","90","120","受热未翘","两端翘起成月牙形、色泽乳白","发硬","","软骨受热两端翘起成月牙形、咬断有清脆声即可",受热两端翘起成月牙形,hard,
"🐟 黑鱼片","海鲜类","30","45","60","遇热未泛白","薄鱼片极速泛白蜷曲","肉质发紧","水产建议全熟","薄鱼片遇沸汤极速泛白蜷曲即熟",薄鱼片遇沸汤极速泛白,hard,
"🍄 金针菇卷","丸滑类","120","180","240","牛肉未变色","牛肉变熟、内部金针菇熟透软化","更紧实","厚团需确认中心热透","牛肉变熟同时内部金针菇需充分受热熟透",牛肉变熟同时金针菇熟透,hard,
"🍄 绣球菌","蔬菜类","90","120","150","花瓣未透","花瓣由白微透、口感似脆海蜇","软烂","建议煮透","花瓣由白微透，口感近似脆海蜇",花瓣由白微透即捞,hard,
"🐟 泥鳅","海鲜类","360","420","480","鱼肉未收缩","鱼肉紧缩发裂、与主脊椎骨脱离","肉离骨发硬","务必煮透（寄生虫风险）","必须中火彻底煮透，鱼肉与主脊椎骨脱离",中火彻底煮透,hard,0.5
"🐟 带鱼段","海鲜类","240","300","360","银鳞未收","鱼身银鳞微收、鱼肉瓷白紧实","肉离骨发硬","水产务必全熟","鱼身银鳞微收、鱼肉转瓷白紧实即熟",切忌猛火翻搅致碎,hard,0.5
"👅 牛舌片","肉类","20","30","45","遇热微缩、色泽未褪","微缩打卷、色泽变灰","卷紧发硬","极薄快涮，久煮发韧","极薄快涮，遇热微缩打卷即熟",极薄快涮、遇热微缩打卷,hard,
"🌶️ 泡椒牛肉","肉类","90","120","150","牛肉未全熟","牛肉全熟包裹酸辣泡椒","肉质发柴","裹浆较厚，中心需时更久","牛肉全熟包裹酸辣泡椒，咬开小心内包热酸汁烫嘴",牛肉全熟包裹酸辣泡椒,hard,
"🦴 猪鼻筋","肉类","120","180","240","筋膜未缩紧","半透筋膜缩紧发白卷曲","发硬","","半透筋膜受热缩紧发白卷曲，软糯带脆劲",半透筋膜缩紧发白卷曲,hard,
"🐔 乌鸡卷","肉类","30","45","60","薄卷未舒展","完全变色舒展","肉碎发柴","薄卷回沸慢时中心可能带粉","薄切刨卷，完全变色舒展即捞",薄切刨卷、完全变色舒展,hard,
"🍜 魔芋丝","豆制品类","120","180","240","开始吸汁","多滚吸纳牛油辣味、软弹","更软","无生食风险，按口感选档","耐煮食材，多滚少许吸纳牛油辣味",多滚少许吸纳牛油辣味,hard,
"🥩 匙柄","肉类","12","18","30","中间肉筋未缩","中间细肉筋微缩受热、变白","发柴","","中间一条细肉筋微缩受热，变白即可",中间细肉筋微缩受热变白,hard,
"🫀 牛脆管","肉类","90","120","150","白管未缩","白管微缩变硬","发硬","","白管微缩变硬，嚼感与黄喉类似但更具韧脆度",白管微缩变硬,hard,
"🐔 鸡肾","肉类","180","240","300","球体未鼓圆","球体鼓圆、内部蛋白凝固","发硬","务必煮透（寄生虫风险）","必须完全煮透至球体鼓圆、内部蛋白彻底凝固无生红",煮透至球体鼓圆、蛋白凝固,hard,
"🐟 龙利鱼片","海鲜类","120","180","240","白肉未浮起","白肉微浮起、用筷能轻掐断","肉质发紧","水产务必全熟","白肉微浮起、用筷能轻掐断即熟",白肉微浮起轻掐断即熟,hard,
"🐙 八爪鱼","海鲜类","60","90","120","头部未鼓","头部圆鼓、爪子回缩成菊花球","发硬","","头部圆鼓、爪子全部回缩成菊花球即捞",爪子全部回缩成菊花球,hard,0.5
"🥠 豆黄金","豆制品类","10","15","30","入汤未软","数秒打软吸汁","软烂","","极薄如纸，放滚汤内数秒打软吸汁即需捞出",滚汤内数秒打软吸汁即捞,hard,
"🫓 油豆泡","豆制品类","120","180","240","开始吸汁","压入汤中吸足红油膨胀","更软","小心内部热汤爆浆","用漏勺将其压入汤中吸足红油膨胀，咬食小心内部热汤爆浆",漏勺压入汤中吸足红油,hard,
"🥕 白萝卜","蔬菜类","180","240","300","边缘未透","边缘透明软化","软烂","无生食风险，按口感选档","建议在吃完荤菜后下锅，吸油解腻、回甘清甜",吃完荤菜后下锅，吸油解腻,hard,0.5
"🌱 折耳根","蔬菜类","30","60","180","根部未透","根部脆且味浓","粉软味淡","特殊风味，按耐受度调整","根部30～60秒脆且味浓，3分钟以上粉软味淡",根部30~60秒脆且味浓,,
"🐔 鸡爪","经典火锅菜","600","900","1200","外皮未软","外皮软烂裂口","更烂","禽类务必全熟","生爪肉厚，需开锅即下、久煨慢煮至外皮软烂裂口",开锅即下、久煨慢煮,hard,0.5
